GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prova_pratica,com.mycompany.app,RomanPrinter,3,282,2,8,1,16,3,6,1,3
prova_pratica,com.mycompany.app,IntegerToRoman,4,190,1,11,2,21,2,7,1,2
